job_nm|month_pay|job_loc|co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
游戏运营-英语|4001-6000|北京-海淀区|CC633465827|北京毅诚科技有限公司|['外商独资']|['20-99人']|['http://www.sevenga.com']|['网络游戏,互联网/电子商务']|['北京市海淀区花园东路11号泰兴大厦']|[<Element div at 0x107670318>]
部门策划|4001-6000|北京-海淀区|CC615944021|北京奇迹时代科技有限公司|['股份制企业']|['20-99人']|[]|['北京市海淀区花园东路11号泰兴大厦3层301室']|[]|[<Element div at 0x107670548>]
推广SEO|8000-15000|北京|CC314049536|同仁堂国际|['外商独资']|['100-499人']|['http://www.trthi.com']|['互联网/电子商务,医疗/护理/美容/保健/卫生服务,医药/生物工程,贸易/进出口']|['北京市丰台区南四环西路186号汉威国际广场四区2号楼9M层']|[<Element div at 0x107670b38>]
推广SEM|8000-15000|北京|CC314049536|同仁堂国际|['外商独资']|['100-499人']|['http://www.trthi.com']|['互联网/电子商务,医疗/护理/美容/保健/卫生服务,医药/生物工程,贸易/进出口']|['北京市丰台区南四环西路186号汉威国际广场四区2号楼9M层']|[<Element div at 0x107670e08>]
渠道品类运营（跨境出口方向）|8000-15000|北京|CC314049536|同仁堂国际|['外商独资']|['100-499人']|['http://www.trthi.com']|['互联网/电子商务,医疗/护理/美容/保健/卫生服务,医药/生物工程,贸易/进出口']|['北京市丰台区南四环西路186号汉威国际广场四区2号楼9M层']|[<Element div at 0x107670d18>]
***【,】置业投资顾问（年入30万以上）|8001-10000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x107670318>]
置业经理（50W以上）|15001-20000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x107670ef8>]
运营（英语）|6000-10000|北京-海淀区|CC206509511|北京澳柯网信科技发展有限公司|['民营']|['20-99人']|['http://www.aokoshare.com']|['互联网/电子商务,计算机软件,IT服务(系统/数据/维护),网络游戏']|['北京市海淀区苏州街18号院长远天地大厦B1座706']|[<Element div at 0x1076708b8>]
全球资源金融分析师（仅招收,留学硕士）|8001-10000|北京|CC296945112|清蓝投资管理有限公司|['股份制企业']|['100-499人']|['http://www.miningcircle.com']|['基金/证券/期货/投资,互联网/电子商务,能源/矿产/采掘/冶炼,教育/培训/院校']|['北京市朝阳区CBD建国门外大街中海广场南楼5层']|[<Element div at 0x1076b4188>]
置业助理|4001-6000|北京|CC375280232|诺金环球(北京)投资管理有限公司|['民营']|['20人以下']|['http://www.newkeyglobal.com']|['房地产/建筑/建材/工程,专业服务/咨询(财会/法律/人力资源等)']|['北京朝阳区朝外街道朝阳门北大街乙12号，天辰大厦901室']|[<Element div at 0x107670e08>]
会展招商实习生|1000-2000|北京|CC151113212|北京利普奥斯国际会展有限责任公司|['民营']|['20-99人']|['http://www.lipuaosi.com']|['广告/会展/公关']|['北京市东城区夕照寺中街4号星海宏昌大厦A座535室']|[<Element div at 0x106baef48>]
社交媒体设计师|10001-15000|北京|CC622819527|北京乐可互动科技有限公司|['民营']|['20-99人']|['http://www.ilinkone.com']|['互联网/电子商务,广告/会展/公关,IT服务(系统/数据/维护)']|['北京市东城区东四十条南新仓商务大厦A座607']|[<Element div at 0x1076cfd68>]
社交媒体运营经理|15001-20000|北京|CC622819527|北京乐可互动科技有限公司|['民营']|['20-99人']|['http://www.ilinkone.com']|['互联网/电子商务,广告/会展/公关,IT服务(系统/数据/维护)']|['北京市东城区东四十条南新仓商务大厦A座607']|[<Element div at 0x1076b4318>]
